epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.853,2.4272,7.48638,1.65149,0.00311,0.05372,0.00186,0.00136,2.02394,6.39784,1.31444,0.00011669,0.00011669,0.00011669
2,149.333,1.9678,5.22038,1.32926,0.94884,0.428,0.49737,0.31725,1.20082,3.05424,0.93514,0.000247575,0.000247575,0.000247575
3,241.859,1.43342,2.04612,1.00001,0.69612,0.82428,0.81584,0.46234,1.44703,1.8299,0.93966,0.000375818,0.000375818,0.000375818
4,348.632,1.41908,1.36581,0.97829,0.75885,0.70628,0.82183,0.4432,1.21724,1.51705,0.91247,0.000501422,0.000501422,0.000501422
5,436.596,1.37271,1.11477,0.97261,0.60072,0.58304,0.52399,0.27851,1.14403,1.36325,0.90191,0.000624385,0.000624385,0.000624385
6,536.195,1.32379,0.98269,0.96741,0.90527,0.33914,0.40852,0.24653,1.22105,1.60051,0.93688,0.000744707,0.000744707,0.000744707
7,626.441,1.36307,0.91557,0.96199,0.22221,0.67596,0.22084,0.11623,1.29127,5.18273,0.95606,0.000862389,0.000862389,0.000862389
8,712.764,1.29008,0.89734,0.96284,0.13364,0.47154,0.12952,0.08047,1.19201,3.0707,1.01105,0.00097743,0.00097743,0.00097743
9,790.503,1.29407,0.8984,0.96541,0.09922,0.09088,0.0444,0.02908,2.05737,14.4875,1.43318,0.00108983,0.00108983,0.00108983
10,885.805,1.33012,0.85223,0.97682,0.31797,0.38182,0.26413,0.14615,1.55334,1.92703,1.15496,0.00119959,0.00119959,0.00119959
11,965.371,1.32428,0.86512,0.97708,0.74276,0.45877,0.555,0.29075,1.43678,1.50003,1.11041,0.00130671,0.00130671,0.00130671
12,1056.18,1.31276,0.86259,0.98637,0.56282,0.44774,0.42306,0.26628,1.439,2.55708,1.12984,0.00141119,0.00141119,0.00141119
13,1145.64,1.31126,0.84774,0.973,0.07449,0.05981,0.01254,0.00701,nan,nan,nan,0.00146896,0.00146896,0.00146896
14,1234.78,1.32027,0.81488,0.96725,0.10228,0.25436,0.06387,0.03394,1.60923,3.58817,1.10353,0.00145246,0.00145246,0.00145246
15,1328.21,1.30852,0.8015,0.95915,0.398,0.0482,0.04349,0.01665,2.05952,4.7156,1.31757,0.00143595,0.00143595,0.00143595
16,1408.67,1.29147,0.77336,0.96088,0.16466,0.31039,0.20332,0.12001,1.52106,3.79748,0.98599,0.00141945,0.00141945,0.00141945
17,1499.56,1.27941,0.74571,0.95625,0.38538,0.57594,0.45854,0.27107,1.38186,3.21489,0.94356,0.00140295,0.00140295,0.00140295
18,1589.32,1.27124,0.74315,0.95549,0.40268,0.76016,0.4364,0.23112,1.28324,2.18324,0.9195,0.00138644,0.00138644,0.00138644
19,1680.25,1.27915,0.73811,0.95146,0.77058,0.76626,0.84677,0.55782,1.11082,1.6584,0.89901,0.00136994,0.00136994,0.00136994
20,1775.69,1.27323,0.75304,0.94675,0.6854,0.84918,0.65753,0.37834,1.3191,1.94161,0.91626,0.00135344,0.00135344,0.00135344
21,1870.66,1.24358,0.70806,0.94029,0.75041,0.73298,0.76743,0.50825,1.08799,1.13277,0.89535,0.00133693,0.00133693,0.00133693
22,1950.03,1.2364,0.69385,0.93747,0.89729,0.89459,0.94287,0.63533,1.1503,0.94502,0.9034,0.00132043,0.00132043,0.00132043
23,2042.55,1.21931,0.66564,0.92699,0.90619,0.86208,0.95493,0.68885,0.9603,0.70892,0.86089,0.00130393,0.00130393,0.00130393
24,2131.8,1.18002,0.66576,0.92455,0.73188,0.83353,0.78397,0.50866,1.17232,1.30847,0.8888,0.00128742,0.00128742,0.00128742
25,2227.28,1.21563,0.65125,0.93355,0.78267,0.93409,0.83314,0.58351,1.03913,0.98781,0.86816,0.00127092,0.00127092,0.00127092
26,2318.87,1.17923,0.63926,0.92147,0.91017,0.96246,0.97788,0.67276,1.11008,0.66108,0.86401,0.00125442,0.00125442,0.00125442
27,2407.06,1.15932,0.64224,0.91946,0.87048,0.91638,0.94339,0.56743,1.22108,0.78514,0.89354,0.00123791,0.00123791,0.00123791
28,2490.44,1.15206,0.62894,0.90824,0.92783,0.96391,0.97899,0.62296,1.13489,0.73652,0.8805,0.00122141,0.00122141,0.00122141
29,2584.8,1.18092,0.62306,0.92295,0.96468,0.94628,0.9753,0.65412,1.10899,0.65353,0.87769,0.00120491,0.00120491,0.00120491
30,2663.02,1.11601,0.60357,0.90365,0.95174,0.94628,0.95926,0.65297,1.08462,0.63348,0.87794,0.0011884,0.0011884,0.0011884
31,2743.5,1.12839,0.60025,0.91426,0.9453,0.93134,0.96645,0.64415,1.14998,0.6605,0.88396,0.0011719,0.0011719,0.0011719
32,2837.53,1.12681,0.61017,0.91522,0.96482,0.92845,0.98913,0.66598,0.99306,0.63428,0.86206,0.0011554,0.0011554,0.0011554
33,2923.97,1.13017,0.608,0.90729,0.96425,0.96555,0.99128,0.68946,0.99159,0.6003,0.86253,0.00113889,0.00113889,0.00113889
34,3008.24,1.1282,0.59795,0.90989,0.98351,0.99663,0.99482,0.66919,1.07678,0.58489,0.87883,0.00112239,0.00112239,0.00112239
35,3097.06,1.12668,0.59594,0.89581,0.96619,0.9939,0.99339,0.69355,1.00581,0.54845,0.86174,0.00110589,0.00110589,0.00110589
36,3182.42,1.08998,0.57554,0.89812,0.95719,0.98442,0.97887,0.70711,0.95451,0.54929,0.85128,0.00108938,0.00108938,0.00108938
37,3277.19,1.11327,0.56863,0.90252,0.89934,0.99818,0.98168,0.71877,0.95192,0.52114,0.85414,0.00107288,0.00107288,0.00107288
38,3365.36,1.09736,0.57316,0.90995,0.99038,0.99116,0.99488,0.70693,1.06572,0.57017,0.86574,0.00105638,0.00105638,0.00105638
39,3451.42,1.11514,0.58819,0.90712,0.98209,0.98217,0.99227,0.69074,0.99595,0.55047,0.8567,0.00103987,0.00103987,0.00103987
40,3535.87,1.09309,0.58463,0.90643,0.9854,0.98766,0.99415,0.6757,1.03457,0.5392,0.87331,0.00102337,0.00102337,0.00102337
41,3625.58,1.09381,0.58188,0.89157,0.95177,0.96879,0.98258,0.69539,1.02105,0.55585,0.86354,0.00100687,0.00100687,0.00100687
42,3715.07,1.06292,0.5738,0.8974,0.9964,0.99207,0.995,0.62888,1.17386,0.57719,0.87994,0.000990365,0.000990365,0.000990365
43,3802.59,1.04907,0.54014,0.89155,0.95926,0.9448,0.97292,0.70954,0.91249,0.52197,0.85096,0.000973861,0.000973861,0.000973861
44,3885.9,1.05651,0.55236,0.89173,0.95888,0.9939,0.97394,0.70095,0.96294,0.56799,0.86044,0.000957358,0.000957358,0.000957358
45,3977.35,1.04243,0.5341,0.89075,0.94193,0.96489,0.98907,0.7049,0.97615,0.50879,0.85633,0.000940855,0.000940855,0.000940855
46,4069.25,1.06083,0.55536,0.89069,0.99538,0.98323,0.99471,0.68463,0.9745,0.55239,0.86358,0.000924352,0.000924352,0.000924352
47,4156.54,1.0233,0.53222,0.88469,0.97517,0.96521,0.99129,0.72895,0.9503,0.50154,0.85628,0.000907848,0.000907848,0.000907848
48,4243.79,1.02286,0.5283,0.88718,0.98917,0.9939,0.99494,0.68344,1.03832,0.50796,0.85918,0.000891345,0.000891345,0.000891345
49,4351.04,1.0136,0.52934,0.88043,0.996,1,0.995,0.68854,1.01513,0.47844,0.85534,0.000874842,0.000874842,0.000874842
50,4620.98,1.01262,0.52444,0.87783,0.99674,0.99861,0.995,0.6983,1.02051,0.48607,0.8582,0.000858338,0.000858338,0.000858338
51,4851.92,1.02241,0.5133,0.88085,0.99688,0.97465,0.99409,0.68517,1.02378,0.48891,0.86324,0.000841835,0.000841835,0.000841835
52,4947.06,1.00783,0.5193,0.88903,0.99395,0.99936,0.99494,0.73014,0.95996,0.47101,0.8563,0.000825332,0.000825332,0.000825332
53,5042.79,1.02526,0.52631,0.88955,0.9823,0.99548,0.99476,0.73939,0.90366,0.46757,0.84436,0.000808828,0.000808828,0.000808828
54,5123.69,1.01831,0.52842,0.87609,0.9855,1,0.99398,0.72648,0.9145,0.48006,0.84204,0.000792325,0.000792325,0.000792325
55,5217.9,0.99834,0.50782,0.87801,0.98989,1,0.9944,0.74767,0.88429,0.44969,0.83694,0.000775822,0.000775822,0.000775822
56,5297.33,0.97699,0.50393,0.87237,0.99251,1,0.995,0.72174,0.9917,0.46341,0.84775,0.000759318,0.000759318,0.000759318
57,5377.08,0.94019,0.49097,0.87286,0.98016,0.99539,0.99206,0.75685,0.87534,0.44196,0.83475,0.000742815,0.000742815,0.000742815
58,5454.28,0.99486,0.50203,0.87636,0.99099,0.9889,0.99494,0.74292,0.87569,0.46621,0.83147,0.000726312,0.000726312,0.000726312
59,5534.8,0.95211,0.48651,0.87473,0.99025,0.9939,0.99494,0.68261,1.0537,0.51428,0.85225,0.000709809,0.000709809,0.000709809
60,5610.68,0.93983,0.47805,0.8634,0.99697,1,0.995,0.71571,0.89986,0.45052,0.83179,0.000693305,0.000693305,0.000693305
61,5684.92,0.97197,0.47572,0.87152,0.97622,0.98782,0.99414,0.74972,0.87877,0.45717,0.8442,0.000676802,0.000676802,0.000676802
62,5751.5,0.92622,0.46519,0.86687,0.99609,0.99557,0.995,0.7397,0.89482,0.44413,0.83719,0.000660299,0.000660299,0.000660299
63,5843.52,0.95634,0.48137,0.8674,0.99757,0.99441,0.995,0.76131,0.89053,0.4631,0.83531,0.000643795,0.000643795,0.000643795
64,5914.01,0.94338,0.47757,0.87152,0.99719,0.99786,0.995,0.76881,0.85394,0.43542,0.83114,0.000627292,0.000627292,0.000627292
65,6004.41,0.9718,0.47353,0.86668,0.99784,1,0.995,0.75601,0.87695,0.43356,0.83282,0.000610789,0.000610789,0.000610789
66,6076.26,0.9133,0.46318,0.86453,0.99778,1,0.995,0.76704,0.88033,0.42408,0.83868,0.000594286,0.000594286,0.000594286
67,6155.12,0.91994,0.46235,0.85735,0.99165,1,0.995,0.72515,0.97551,0.44048,0.84751,0.000577782,0.000577782,0.000577782
68,6241.46,0.9287,0.464,0.86155,0.99716,1,0.995,0.76819,0.8541,0.41428,0.83214,0.000561279,0.000561279,0.000561279
69,6325.17,0.9361,0.4651,0.86276,0.99381,0.9939,0.99461,0.72103,0.95678,0.44119,0.84337,0.000544776,0.000544776,0.000544776
70,6413.72,0.90519,0.46194,0.85819,0.99163,0.99871,0.995,0.74342,0.91064,0.41734,0.8402,0.000528272,0.000528272,0.000528272
