epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.735,2.14975,3.44182,1.40629,0.50714,0.83178,0.69693,0.42784,1.37402,2.33319,1.01088,0.0003334,0.0003334,0.0003334
2,387.898,1.62254,1.32356,1.12284,0,0,0,0,nan,nan,nan,0.000676704,0.000676704,0.000676704
3,531.67,1.65206,1.2222,1.1425,0,0,0,0,nan,nan,nan,0.00101308,0.00101308,0.00101308
4,717.898,1.62991,1.06796,1.10548,0.00473,0.22322,0.00303,0.00169,2.0068,inf,4.37854,0.00134252,0.00134252,0.00134252
5,899.753,1.59564,1.10546,1.11206,0.23354,0.51424,0.24403,0.12371,1.50806,6.72935,1.31884,0.00160099,0.00160099,0.00160099
6,1116.38,1.57425,1.03447,1.11403,0.0593,0.42492,0.05452,0.02351,2.03426,5.45858,1.45666,0.00158448,0.00158448,0.00158448
7,1318.23,1.56625,0.99436,1.08107,0.22087,0.74358,0.25002,0.13254,1.381,10.2865,1.00652,0.00156798,0.00156798,0.00156798
8,1533.06,1.52829,0.95069,1.06886,0.70611,0.74939,0.77053,0.43241,1.40899,2.76599,1.00585,0.00155148,0.00155148,0.00155148
9,1752.18,1.48814,0.93479,1.06899,0.14551,0.69169,0.15188,0.0928,1.35092,12.3307,0.98665,0.00153497,0.00153497,0.00153497
10,1974.93,1.47474,0.89125,1.0415,0.75959,0.83984,0.81528,0.35136,1.67736,1.21382,1.07248,0.00151847,0.00151847,0.00151847
11,2114.71,1.45749,0.84949,1.05413,0.70757,0.88939,0.78426,0.45402,1.27419,1.21313,0.9573,0.00150197,0.00150197,0.00150197
12,2335.47,1.46023,0.88199,1.05093,0.71667,0.84922,0.83452,0.45822,1.41822,1.17143,0.96627,0.00148546,0.00148546,0.00148546
13,2484.57,1.42857,0.81751,1.02608,0.82547,0.89639,0.93312,0.59826,1.23384,0.92027,0.93435,0.00146896,0.00146896,0.00146896
14,2679.35,1.37613,0.78971,1.00659,0.79438,0.87588,0.83596,0.478,1.41711,0.872,0.99106,0.00145246,0.00145246,0.00145246
15,2844.36,1.3689,0.782,1.00246,0.96041,0.95649,0.98261,0.66992,1.1185,0.73395,0.9128,0.00143595,0.00143595,0.00143595
16,3055.12,1.31379,0.73608,0.99654,0.92463,0.95846,0.98181,0.63255,1.1887,0.76925,0.92267,0.00141945,0.00141945,0.00141945
17,3203.47,1.30703,0.71997,0.98777,0.77009,0.91241,0.8868,0.59519,1.15853,0.84536,0.90574,0.00140295,0.00140295,0.00140295
18,3370.74,1.38668,0.74883,1.00764,0.54376,0.84785,0.59941,0.37033,1.3293,1.16544,0.97311,0.00138644,0.00138644,0.00138644
19,3537.48,1.29055,0.70784,0.97751,0.94875,0.98724,0.98681,0.68038,1.07309,0.64403,0.91026,0.00136994,0.00136994,0.00136994
20,3746.5,1.27343,0.69089,0.97738,0.83329,0.90741,0.881,0.59054,1.1334,0.70394,0.90408,0.00135344,0.00135344,0.00135344
21,3917.49,1.32473,0.70998,0.9787,0.93377,0.94726,0.97008,0.62743,1.13111,0.6729,0.90928,0.00133693,0.00133693,0.00133693
22,4194.8,1.28812,0.69201,0.98126,0.9746,0.9955,0.99296,0.71571,1.05602,0.5753,0.89372,0.00132043,0.00132043,0.00132043
23,4367.89,1.26706,0.6987,0.97592,0.95354,0.95157,0.99065,0.69268,1.09249,0.57122,0.895,0.00130393,0.00130393,0.00130393
24,4621.95,1.23891,0.66338,0.97309,0.97431,0.95965,0.99265,0.68369,1.14112,0.58013,0.90864,0.00128742,0.00128742,0.00128742
25,4844.77,1.26164,0.67847,0.97293,0.98676,0.98989,0.99291,0.64056,1.17218,0.62963,0.92044,0.00127092,0.00127092,0.00127092
26,5042.18,1.28155,0.67109,0.96362,0.93633,0.98986,0.98586,0.69244,1.01847,0.56686,0.8977,0.00125442,0.00125442,0.00125442
27,5192.32,1.25381,0.65504,0.95912,0.93018,0.94545,0.98414,0.64371,1.18085,0.63993,0.90125,0.00123791,0.00123791,0.00123791
28,5405.71,1.22315,0.6475,0.9496,0.98513,0.98588,0.99456,0.69257,1.08817,0.565,0.90122,0.00122141,0.00122141,0.00122141
29,5578.79,1.19315,0.61722,0.94539,0.94819,0.99275,0.97736,0.68943,1.04413,0.57825,0.88879,0.00120491,0.00120491,0.00120491
30,5797.92,1.21191,0.63302,0.95998,0.98519,0.99064,0.99286,0.70298,1.03506,0.54935,0.88627,0.0011884,0.0011884,0.0011884
31,5988.74,1.23214,0.6477,0.96221,0.96382,0.97736,0.97678,0.72125,1.0381,0.55364,0.8951,0.0011719,0.0011719,0.0011719
32,6173.46,1.21017,0.63549,0.95605,0.96033,0.99221,0.99324,0.72425,1.01325,0.54077,0.87656,0.0011554,0.0011554,0.0011554
33,6403.66,1.22407,0.63307,0.95357,0.98155,1,0.995,0.65802,1.18238,0.55416,0.91698,0.00113889,0.00113889,0.00113889
34,6626.61,1.19466,0.62413,0.94376,0.96339,0.96363,0.99267,0.71378,1.04295,0.55246,0.88097,0.00112239,0.00112239,0.00112239
35,6775.61,1.177,0.60924,0.94043,0.98932,0.9991,0.99326,0.73866,0.97312,0.52942,0.86751,0.00110589,0.00110589,0.00110589
36,7022.16,1.2092,0.60513,0.95828,0.98493,0.99034,0.99358,0.73998,0.96612,0.53185,0.8762,0.00108938,0.00108938,0.00108938
37,7189.96,1.13619,0.58427,0.93894,0.99114,0.99347,0.99491,0.74065,0.97693,0.51783,0.87491,0.00107288,0.00107288,0.00107288
38,7433.78,1.13391,0.56678,0.93513,0.99093,0.99099,0.99491,0.72531,1.01668,0.52574,0.87858,0.00105638,0.00105638,0.00105638
39,7638.09,1.16758,0.58311,0.93744,0.98861,0.99253,0.99482,0.71142,1.03611,0.52291,0.8788,0.00103987,0.00103987,0.00103987
40,7823.79,1.17009,0.58498,0.94282,0.98136,0.99444,0.99487,0.717,0.99537,0.49782,0.87351,0.00102337,0.00102337,0.00102337
41,8019.6,1.1368,0.58051,0.92144,0.98505,1,0.99459,0.68233,1.08505,0.50337,0.88745,0.00100687,0.00100687,0.00100687
42,8222.54,1.15084,0.578,0.94133,0.99772,1,0.995,0.72155,1.01176,0.49773,0.87746,0.000990365,0.000990365,0.000990365
43,8378.89,1.13693,0.56628,0.93178,0.99132,1,0.99473,0.71636,1.07552,0.51547,0.89387,0.000973861,0.000973861,0.000973861
44,8572.56,1.14142,0.57551,0.93229,0.99616,1,0.995,0.73211,1.00249,0.50944,0.87368,0.000957358,0.000957358,0.000957358
45,8773.5,1.13501,0.5672,0.92402,0.99304,0.99704,0.99473,0.73655,1.01667,0.49348,0.86839,0.000940855,0.000940855,0.000940855
46,8961.5,1.0925,0.55574,0.91984,0.99258,0.99923,0.99487,0.7461,0.95902,0.48237,0.86304,0.000924352,0.000924352,0.000924352
47,9128.57,1.11848,0.55296,0.93073,0.97446,0.9955,0.98826,0.72357,1.05207,0.50293,0.87965,0.000907848,0.000907848,0.000907848
48,9283.94,1.09706,0.53948,0.92392,0.99592,0.99099,0.99487,0.76358,0.91628,0.4659,0.85522,0.000891345,0.000891345,0.000891345
49,9476.1,1.08441,0.5423,0.91688,0.99222,1,0.99482,0.71661,1.01993,0.49187,0.86038,0.000874842,0.000874842,0.000874842
50,9709.93,1.08296,0.53589,0.92083,0.97504,1,0.99429,0.75657,0.94373,0.47031,0.85834,0.000858338,0.000858338,0.000858338
51,9952.07,1.09468,0.53668,0.91479,0.97425,0.99422,0.9929,0.73397,1.02912,0.4917,0.87369,0.000841835,0.000841835,0.000841835
52,10140.3,1.08505,0.53607,0.92116,0.96968,0.9955,0.99419,0.74132,1.00581,0.47959,0.86977,0.000825332,0.000825332,0.000825332
53,10333.8,1.07087,0.52539,0.91965,0.99717,0.9955,0.995,0.70449,1.01502,0.49281,0.85945,0.000808828,0.000808828,0.000808828
54,10561,1.08215,0.52879,0.9078,0.98473,1,0.99478,0.73948,0.98487,0.47996,0.86007,0.000792325,0.000792325,0.000792325
55,10747,1.04998,0.51456,0.90122,0.96703,0.96581,0.99338,0.73776,0.99388,0.48276,0.86105,0.000775822,0.000775822,0.000775822
56,10978.8,1.05968,0.52396,0.90508,0.99269,1,0.99487,0.7554,0.95651,0.46167,0.8597,0.000759318,0.000759318,0.000759318
57,11135.6,1.06135,0.51676,0.91732,0.99052,0.99736,0.99487,0.75148,0.95201,0.45822,0.8602,0.000742815,0.000742815,0.000742815
58,11364.9,1.05979,0.5099,0.90586,0.99161,0.99974,0.99482,0.76698,0.91672,0.45427,0.85047,0.000726312,0.000726312,0.000726312
59,11522,1.06397,0.51323,0.91111,0.98254,1,0.99424,0.74351,0.95051,0.45446,0.8568,0.000709809,0.000709809,0.000709809
60,11723.2,1.04965,0.51325,0.91624,0.99244,1,0.995,0.7243,0.9908,0.46715,0.86443,0.000693305,0.000693305,0.000693305
61,11871.6,1.02956,0.51047,0.90484,0.98309,0.99693,0.99491,0.76218,0.91345,0.4605,0.85213,0.000676802,0.000676802,0.000676802
62,12134,1.03907,0.5104,0.89816,0.99684,0.99495,0.995,0.77508,0.84739,0.43974,0.84081,0.000660299,0.000660299,0.000660299
63,12302.9,1.01866,0.4894,0.90306,0.99281,0.9955,0.99495,0.76813,0.9007,0.43675,0.84968,0.000643795,0.000643795,0.000643795
64,12488.8,1.01572,0.49972,0.90133,0.99087,0.99679,0.99496,0.76688,0.94535,0.44409,0.86127,0.000627292,0.000627292,0.000627292
65,12653.8,1.02807,0.48532,0.91072,0.99321,0.9955,0.99482,0.76325,0.93971,0.43644,0.85646,0.000610789,0.000610789,0.000610789
66,12873.3,1.01744,0.48819,0.90201,0.99369,0.9955,0.995,0.77777,0.88537,0.42978,0.84706,0.000594286,0.000594286,0.000594286
67,13055.2,1.02173,0.48939,0.89343,0.99444,0.9955,0.995,0.7383,0.9914,0.45975,0.85748,0.000577782,0.000577782,0.000577782
68,13302.4,1.01285,0.48331,0.8864,0.99022,1,0.995,0.72111,1.00677,0.47269,0.86139,0.000561279,0.000561279,0.000561279
69,13506.6,0.99054,0.47709,0.89008,0.99607,0.99804,0.995,0.76083,0.92722,0.43331,0.85529,0.000544776,0.000544776,0.000544776
70,13763.9,0.98919,0.47834,0.88444,0.99657,1,0.995,0.77764,0.87319,0.41724,0.85374,0.000528272,0.000528272,0.000528272
71,13974.3,1.00205,0.47583,0.89635,0.99273,0.99988,0.99491,0.76848,0.90102,0.4202,0.8486,0.000511769,0.000511769,0.000511769
72,14168.1,1.0094,0.47721,0.89108,0.99261,1,0.99491,0.76167,0.91509,0.42954,0.85053,0.000495266,0.000495266,0.000495266
73,14357.7,0.9717,0.46721,0.88989,0.99361,1,0.995,0.77399,0.87579,0.42054,0.8413,0.000478762,0.000478762,0.000478762
74,14582.3,0.94047,0.45169,0.87324,0.99045,1,0.99478,0.7669,0.92109,0.43019,0.84962,0.000462259,0.000462259,0.000462259
75,14772.3,0.97197,0.46098,0.89104,0.99747,1,0.995,0.77737,0.89606,0.41448,0.84704,0.000445756,0.000445756,0.000445756
76,15030.8,1.00398,0.47195,0.89044,0.99186,0.99664,0.99491,0.76932,0.92368,0.43409,0.85116,0.000429253,0.000429253,0.000429253
77,15183.1,0.95663,0.46384,0.88135,0.99545,0.99027,0.99496,0.77777,0.96953,0.43462,0.85307,0.000412749,0.000412749,0.000412749
78,15347.6,0.94481,0.45078,0.8792,0.99288,1,0.995,0.7833,0.84738,0.41794,0.84025,0.000396246,0.000396246,0.000396246
79,15498.8,0.93848,0.45608,0.87694,0.99713,0.9942,0.995,0.77949,0.88091,0.406,0.84471,0.000379743,0.000379743,0.000379743
80,15647.3,0.94268,0.44922,0.8799,0.99202,0.9955,0.995,0.78249,0.88702,0.4079,0.84211,0.000363239,0.000363239,0.000363239
81,15830.7,0.93349,0.44191,0.8789,0.99638,1,0.995,0.77327,0.88564,0.42655,0.84531,0.000346736,0.000346736,0.000346736
82,16030.6,0.93738,0.44911,0.88342,0.99676,1,0.995,0.77884,0.87206,0.40319,0.84299,0.000330233,0.000330233,0.000330233
83,16163.2,0.93334,0.45129,0.87926,0.99493,0.99917,0.995,0.76501,0.88684,0.41098,0.84906,0.000313729,0.000313729,0.000313729
84,16341.7,0.93181,0.45836,0.88002,0.99622,1,0.995,0.77006,0.8802,0.40585,0.84681,0.000297226,0.000297226,0.000297226
85,16552.4,0.9182,0.43883,0.87359,0.99741,1,0.995,0.79408,0.87245,0.40408,0.84226,0.000280723,0.000280723,0.000280723
86,16737.2,0.89592,0.43234,0.87872,0.99748,1,0.995,0.79307,0.84222,0.38992,0.84022,0.00026422,0.00026422,0.00026422
87,16900.6,0.90661,0.43021,0.87696,0.99554,1,0.995,0.79044,0.8741,0.39857,0.84775,0.000247716,0.000247716,0.000247716
88,17125.5,0.91894,0.4378,0.86606,0.99412,1,0.995,0.80048,0.83463,0.39593,0.84176,0.000231213,0.000231213,0.000231213
89,17298.3,0.89457,0.42269,0.87475,0.9929,1,0.99496,0.79863,0.85833,0.39037,0.84306,0.00021471,0.00021471,0.00021471
90,17491.5,0.87077,0.41931,0.86811,0.99269,1,0.99487,0.78934,0.8451,0.38283,0.84372,0.000198206,0.000198206,0.000198206
91,17693.7,0.91877,0.42262,0.88652,0.99344,0.9998,0.99496,0.79711,0.82301,0.38471,0.8389,0.000181703,0.000181703,0.000181703
92,17927.6,0.88932,0.41201,0.87361,0.99789,0.99975,0.995,0.78956,0.83816,0.38449,0.84029,0.0001652,0.0001652,0.0001652
93,18138.8,0.88553,0.41236,0.87513,0.99192,1,0.995,0.76698,0.8957,0.40635,0.84352,0.000148696,0.000148696,0.000148696
94,18367,0.88564,0.41099,0.88328,0.99738,1,0.995,0.80761,0.80757,0.37565,0.83482,0.000132193,0.000132193,0.000132193
95,18530.2,0.85174,0.40714,0.86723,0.99696,1,0.995,0.77311,0.86292,0.39725,0.8376,0.00011569,0.00011569,0.00011569
96,18745.7,0.8392,0.39414,0.86212,0.99691,1,0.995,0.78462,0.85035,0.38343,0.83827,9.91865e-05,9.91865e-05,9.91865e-05
97,18923.4,0.85618,0.39762,0.87234,0.99646,1,0.995,0.7928,0.81304,0.38398,0.83277,8.26832e-05,8.26832e-05,8.26832e-05
98,19107.9,0.83857,0.39079,0.86248,0.99552,1,0.995,0.78934,0.8415,0.38392,0.83573,6.61799e-05,6.61799e-05,6.61799e-05
99,19274.5,0.8308,0.39072,0.86,0.99594,1,0.995,0.79836,0.81409,0.38145,0.83213,4.96766e-05,4.96766e-05,4.96766e-05
100,19559.1,0.83803,0.38968,0.86377,0.99488,1,0.995,0.81685,0.79829,0.37398,0.8312,3.31733e-05,3.31733e-05,3.31733e-05
